G,estrategia,pos_rel,ROC_AUC
5,E1,0.4,0.6711797787890058
5,E1,0.6,0.6537817150316505
5,E3 (S=2),0.6,0.6577594205886901
5,E1,0.8,0.6505588204093443
5,E3 (S=2),0.8,0.6566216872194166
5,E1,1.0,0.6795310771088631
5,E3 (S=2),1.0,0.6975521836517894
10,E1,0.3,0.6872488922330908
10,E1,0.4,0.6588540578183091
10,E3 (S=3),0.4,0.6629060789585305
10,E1,0.5,0.6508607661561392
10,E3 (S=3),0.5,0.6548934497350086
10,E1,0.6,0.6574020192214215
10,E3 (S=3),0.6,0.6587584056658997
10,E1,0.7,0.6394207170026125
10,E3 (S=3),0.7,0.6441555189367142
10,E1,0.8,0.6589339826839826
10,E3 (S=3),0.8,0.67207215007215
10,E1,0.9,0.6557677045027908
10,E3 (S=3),0.9,0.670223834872698
10,E1,1.0,0.7018785460779087
10,E3 (S=3),1.0,0.7332716738909669
15,E1,0.26666666666666666,0.6815875645459741
15,E1,0.3333333333333333,0.6657076083854326
15,E3 (S=4),0.3333333333333333,0.6717473600318788
15,E1,0.4,0.6634394581178136
15,E3 (S=4),0.4,0.6722313232827364
15,E1,0.4666666666666667,0.6550816012890919
15,E3 (S=4),0.4666666666666667,0.6541176598227687
15,E1,0.5333333333333333,0.6531157216033676
15,E3 (S=4),0.5333333333333333,0.6566645740517777
15,E1,0.6,0.6514247647996235
15,E3 (S=4),0.6,0.6586353491656045
15,E1,0.6666666666666666,0.6299470662312437
15,E3 (S=4),0.6666666666666666,0.6377057053211244
15,E1,0.7333333333333333,0.6551922531126988
15,E3 (S=4),0.7333333333333333,0.6569393543026608
15,E1,0.8,0.6602388599308517
15,E3 (S=4),0.8,0.670016036609979
15,E1,0.8666666666666667,0.6493507658945958
15,E3 (S=4),0.8666666666666667,0.6725804561477968
15,E1,0.9333333333333333,0.6728825889311518
15,E3 (S=4),0.9333333333333333,0.6887211699246283
15,E1,1.0,0.7096467026137203
15,E3 (S=4),1.0,0.7515658595377276
